No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code,U.S. viewers(millions)
1,1,"""Gem Glow""",Ian Jones-Quartey (supervising)Kevin Dart (art),Joe Johnston and Jeff Liu,"November 4, 2013",1020-003,1.86[6]
"Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem.","Steven is disappointed that his favorite ice-cream sandwich brand, Cookie Cat, gets taken off the market. He soon cheers up upon discovering that the Gems managed to get hold of some of the last remaining Cookie Cats, which he comes to believe may be the key to activating his gem."
2,2,"""Laser Light Cannon""",Ian Jones-Quartey (supervising)Kevin Dart (art),Kat Morris and Rebecca Sugar,"November 4, 2013",1020-001,1.86[6]
"When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon.","When a menacing ""Red Eye"" is about to hit Beach City, the only thing that can destroy it is a Laser Light Cannon that once belonged to Steven's mother, Rose Quartz. Steven and his father, Greg, search through Greg's storage for the cannon."
3,3,"""Cheeseburger Backpack""",Ian Jones-Quartey (supervising)Kevin Dart (art),Ian Jones-Quartey and Rebecca Sugar,"November 11, 2013",1020-002,1.68[7]
The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.,The Crystal Gems take Steven on his first mission: to place a Moon Goddess statue on top of the ruined Lunar Sea Spire. Steven tries to prove he can be useful with the help of his new novelty Cheeseburger Backpack.
4,4,"""Together Breakfast""",Ian Jones-Quartey (supervising)Kevin Dart (art),"Ian Jones-Quartey, Rebecca Sugar, and Paul Villeco","November 11, 2013",1020-004,1.68[7]
"Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated.","Steven's attempt to get the Gems to share his special breakfast sends him on a journey through their ancient Crystal Temple; but when the breakfast absorbs a dangerous artifact, it comes to life and must be defeated."
5,5,"""Frybo""",Ian Jones-Quartey (supervising)Kevin Dart (art),Raven M. Molisee and Paul Villeco,"November 18, 2013",1020-008,1.29[8]
"Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue.","Steven brings a mascot costume to life with a magical gem shard in order help his friend Peedee, but it backfires when the mascot goes rogue."
