No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code [84],U.S. viewers(millions)
104,1,"""Kindergarten Kid""",Kat Morris (supervising)Ricky Cometa (art),Raven M. Molisee and Paul Villeco,"August 11, 2016",1040-105,1.32[107]
"In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster.","In an episode described as a homage to Warner Bros.' Road Runner cartoons,[106] Steven and Peridot are determined to catch a fast, elusive Gem monster."
105,2,"""Know Your Fusion""",Kat Morris (supervising)Ricky Cometa (art),Hilary Florido and Jesse Zuke,"August 12, 2016",1040-106,1.35[108]
"When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special.","When Steven and Amethyst introduce Smoky Quartz to Garnet and Pearl, they fuse into Sardonyx and interview Smoky Quartz about what makes them special."
106,3,"""Buddy's Book""",Joe Johnston (supervising)Ricky Cometa (art),Lamar Abrams and Katie Mitroff,"August 18, 2016",1040-107,1.37[109]
"When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations.","When Connie takes Steven to the Public Library, he discovers an old journal by William Dewey's first mate Buddy, which chronicles his visits to various Gem locations."
107,4,"""Mindful Education""",Joe Johnston (supervising)Ricky Cometa (art),"Colin Howard, Jeff Liu, and Takafumi Hori","August 25, 2016",1040-108,1.33[110]
"Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace.","Steven and Connie continue their combat training, and practice fighting while fused as Stevonnie. However, when overwhelming guilt from both Steven and Connie over past events gets in their way, Garnet helps them find inner peace."
108,5,"""Future Boy Zoltron""",Kat Morris (supervising)Ricky Cometa (art),Raven M. Molisee and Paul Villeco,"September 1, 2016",1040-109,1.36[111]
"After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures.","After accidentally breaking an old fortune-telling machine at Funland, Steven decides to take its place and tell people's futures. While he initially has fun, he eventually meets a mysterious man who seems to only have depressing futures."
109,6,"""Last One Out of Beach City""",Kat Morris (supervising)Ricky Cometa (art),Hilary Florido and Jesse Zuke,"September 8, 2016",1040-110,1.31[112]
"Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose.","Pearl offers to go with Steven and Amethyst to a rock show, deciding to get in touch with her rebellious side whilst trying to impress a woman who looks similar to Rose."
110,7,"""Onion Gang""",Joe Johnston (supervising)Ricky Cometa (art),Lamar Abrams and Katie Mitroff,"September 15, 2016",1040-111,1.26[113]
Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.,Onion brings Steven into the woods to introduce him to his friends and have a fun day.
111112,89,"""Gem Harvest""",Kat Morris (supervising)Ricky Cometa (art),"Raven M. Molisee, Paul Villeco, Hilary Florido, and Jesse Zuke","November 17, 2016",1040-1131040-114,1.39[114]
"When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems.","When Steven visits Lapis and Peridot at the barn, they get an unexpected visit from Greg's grumpy cousin Andy. To get to know his uncle and make him feel at home, Steven attempts to host a family dinner with Andy, Greg, and the Gems."
113,10,"""Three Gems and a Baby""",Joe Johnston (supervising)Ricky Cometa (art),Lamar Abrams and Katie Mitroff,"December 1, 2016",1040-115,1.29[115]
"Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back.","Greg tells Steven about his first winter as a baby: when Steven was only a few months old, the Gems were still struggling to understand that Rose Quartz had given up her form to allow Steven to be born and wasn't coming back."
114,11,"""Steven's Dream""",Joe Johnston (supervising)Ricky Cometa (art),Jeff Liu and Colin Howard,"January 30, 2017[nb 11]",1040-116,1.36[116]
